upstream_part,up_part_rev,downstream_part,down_part_rev,upstream_output_port,downstream_input_port,start_date,stop_date
FEA106,A,C7F106,A,n,na,2014-10-01 07:00:00+00:00,
FEA107,A,C7F107,A,e,ea,2014-10-01 07:00:00+00:00,
FEA107,A,C7F107,A,n,na,2014-10-01 07:00:00+00:00,
FEA108,A,C7F108,A,e,ea,2014-10-01 07:00:00+00:00,
FEA108,A,C7F108,A,n,na,2014-10-01 07:00:00+00:00,
FEA109,A,C7F109,A,e,ea,2014-10-01 07:00:00+00:00,
FEA109,A,C7F109,A,n,na,2014-10-01 07:00:00+00:00,
FEA10,A,C7F10,A,e,ea,2014-10-01 07:00:00+00:00,
FEA10,A,C7F10,A,n,na,2014-10-01 07:00:00+00:00,
FEA110,A,C7F110,A,e,ea,2014-10-01 07:00:00+00:00,
FEA110,A,C7F110,A,n,na,2014-10-01 07:00:00+00:00,
FEA111,A,C7F111,A,e,ea,2014-10-01 07:00:00+00:00,
FEA111,A,C7F111,A,n,na,2014-10-01 07:00:00+00:00,
FEA112,A,C7F112,A,e,ea,2014-10-01 07:00:00+00:00,
FEA112,A,C7F112,A,n,na,2014-10-01 07:00:00+00:00,
FEA114,A,C7F114,A,e,ea,2014-10-01 07:00:00+00:00,
FEA114,A,C7F114,A,n,na,2014-10-01 07:00:00+00:00,
FEA115,A,C7F115,A,e,ea,2014-10-01 07:00:00+00:00,
FEA115,A,C7F115,A,n,na,2014-10-01 07:00:00+00:00,
FEA116,A,C7F116,A,e,ea,2014-10-01 07:00:00+00:00,
FEA116,A,C7F116,A,n,na,2014-10-01 07:00:00+00:00,
FEA117,A,C7F117,A,e,ea,2014-10-01 07:00:00+00:00,
FEA117,A,C7F117,A,n,na,2014-10-01 07:00:00+00:00,
FEA118,A,C7F118,A,e,ea,2014-10-01 07:00:00+00:00,
FEA118,A,C7F118,A,n,na,2014-10-01 07:00:00+00:00,
FEA119,A,C7F119,A,e,ea,2014-10-01 07:00:00+00:00,
FEA119,A,C7F119,A,n,na,2014-10-01 07:00:00+00:00,
FEA11,A,C7F11,A,e,ea,2014-10-01 07:00:00+00:00,
FEA11,A,C7F11,A,n,na,2014-10-01 07:00:00+00:00,
FEA120,A,C7F120,A,e,ea,2014-10-01 07:00:00+00:00,
FEA120,A,C7F120,A,n,na,2014-10-01 07:00:00+00:00,
FEA121,A,C7F121,A,e,ea,2014-10-01 07:00:00+00:00,
FEA121,A,C7F121,A,n,na,2014-10-01 07:00:00+00:00,
FEA122,A,C7F122,A,e,ea,2014-10-01 07:00:00+00:00,
FEA122,A,C7F122,A,n,na,2014-10-01 07:00:00+00:00,
FEA123,A,C7F123,A,e,ea,2014-10-01 07:00:00+00:00,
FEA123,A,C7F123,A,n,na,2014-10-01 07:00:00+00:00,
FEA124,A,C7F124,A,e,ea,2014-10-01 07:00:00+00:00,
FEA124,A,C7F124,A,n,na,2014-10-01 07:00:00+00:00,
FEA125,A,C7F125,A,e,ea,2014-10-01 07:00:00+00:00,
FEA125,A,C7F125,A,n,na,2014-10-01 07:00:00+00:00,
FEA126,A,C7F126,A,e,ea,2014-10-01 07:00:00+00:00,
FEA126,A,C7F126,A,n,na,2014-10-01 07:00:00+00:00,
FEA127,A,C7F127,A,e,ea,2014-10-01 07:00:00+00:00,
FEA127,A,C7F127,A,n,na,2014-10-01 07:00:00+00:00,
FEA12,A,C7F12,A,e,ea,2014-10-01 07:00:00+00:00,
FEA12,A,C7F12,A,n,na,2014-10-01 07:00:00+00:00,
FEA13,A,C7F13,A,e,ea,2014-10-01 07:00:00+00:00,
FEA13,A,C7F13,A,n,na,2014-10-01 07:00:00+00:00,
FEA14,A,C7F14,A,e,ea,2014-10-01 07:00:00+00:00,
FEA14,A,C7F14,A,n,na,2014-10-01 07:00:00+00:00,
FEA15,A,C7F15,A,e,ea,2014-10-01 07:00:00+00:00,
FEA15,A,C7F15,A,n,na,2014-10-01 07:00:00+00:00,
FEA16,A,C7F16,A,e,ea,2014-10-01 07:00:00+00:00,
FEA16,A,C7F16,A,n,na,2014-10-01 07:00:00+00:00,
FEA17,A,C7F17,A,e,ea,2014-10-01 07:00:00+00:00,
FEA17,A,C7F17,A,n,na,2014-10-01 07:00:00+00:00,
FEA18,A,C7F18,A,e,ea,2014-10-01 07:00:00+00:00,
FEA18,A,C7F18,A,n,na,2014-10-01 07:00:00+00:00,
FEA19,A,C7F19,A,e,ea,2014-10-01 07:00:00+00:00,
FEA19,A,C7F19,A,n,na,2014-10-01 07:00:00+00:00,
FEA1,A,C7F1,A,e,ea,2014-10-01 07:00:00+00:00,
FEA1,A,C7F1,A,n,na,2014-10-01 07:00:00+00:00,
FEA20,A,C7F20,A,e,ea,2014-10-01 07:00:00+00:00,
FEA20,A,C7F20,A,n,na,2014-10-01 07:00:00+00:00,
FEA21,A,C7F21,A,e,ea,2014-10-01 07:00:00+00:00,
FEA21,A,C7F21,A,n,na,2014-10-01 07:00:00+00:00,
FEA22,A,C7F22,A,e,ea,2014-10-01 07:00:00+00:00,
FEA22,A,C7F22,A,n,na,2014-10-01 07:00:00+00:00,
FEA23,A,C7F23,A,e,ea,2014-10-01 07:00:00+00:00,
FEA23,A,C7F23,A,n,na,2014-10-01 07:00:00+00:00,
FEA24,A,C7F24,A,e,ea,2014-10-01 07:00:00+00:00,
FEA24,A,C7F24,A,n,na,2014-10-01 07:00:00+00:00,
FEA25,A,C7F25,A,e,ea,2014-10-01 07:00:00+00:00,
FEA25,A,C7F25,A,n,na,2014-10-01 07:00:00+00:00,
FEA26,A,C7F26,A,e,ea,2014-10-01 07:00:00+00:00,
FEA26,A,C7F26,A,n,na,2014-10-01 07:00:00+00:00,
FEA27,A,C7F27,A,e,ea,2014-10-01 07:00:00+00:00,
FEA27,A,C7F27,A,n,na,2014-10-01 07:00:00+00:00,
FEA28,A,C7F28,A,e,ea,2014-10-01 07:00:00+00:00,
FEA28,A,C7F28,A,n,na,2014-10-01 07:00:00+00:00,
FEA29,A,C7F29,A,e,ea,2014-10-01 07:00:00+00:00,
FEA29,A,C7F29,A,n,na,2014-10-01 07:00:00+00:00,
FEA2,A,C7F2,A,e,ea,2014-10-01 07:00:00+00:00,
FEA2,A,C7F2,A,n,na,2014-10-01 07:00:00+00:00,
FEA30,A,C7F30,A,e,ea,2014-10-01 07:00:00+00:00,
FEA30,A,C7F30,A,n,na,2014-10-01 07:00:00+00:00,
FEA31,A,C7F31,A,e,ea,2014-10-01 07:00:00+00:00,
FEA31,A,C7F31,A,n,na,2014-10-01 07:00:00+00:00,
FEA32,A,C7F32,A,e,ea,2014-10-01 07:00:00+00:00,
FEA32,A,C7F32,A,n,na,2014-10-01 07:00:00+00:00,
FEA33,A,C7F33,A,e,ea,2014-10-01 07:00:00+00:00,
FEA33,A,C7F33,A,n,na,2014-10-01 07:00:00+00:00,
FEA34,A,C7F34,A,e,ea,2014-10-01 07:00:00+00:00,
FEA34,A,C7F34,A,n,na,2014-10-01 07:00:00+00:00,
FEA35,A,C7F35,A,e,ea,2014-10-01 07:00:00+00:00,
FEA35,A,C7F35,A,n,na,2014-10-01 07:00:00+00:00,
FEA36,A,C7F36,A,e,ea,2014-10-01 07:00:00+00:00,
FEA36,A,C7F36,A,n,na,2014-10-01 07:00:00+00:00,
FEA37,A,C7F37,A,e,ea,2014-10-01 07:00:00+00:00,
FEA37,A,C7F37,A,n,na,2014-10-01 07:00:00+00:00,
FEA38,A,C7F38,A,e,ea,2014-10-01 07:00:00+00:00,
FEA38,A,C7F38,A,n,na,2014-10-01 07:00:00+00:00,
